tempo,rpmEsquerdo,rpmDireito,corrente
12089,90.68,48.80,178.00
12112,90.68,73.86,178.00
12137,28.68,73.86,178.00
12164,28.68,73.86,178.00
12187,28.68,45.07,178.00
12212,28.68,45.07,179.00
12235,28.68,66.46,178.00
12259,28.68,66.46,179.00
12283,28.68,66.46,179.00
12307,28.68,66.46,179.00
12331,28.68,35.39,179.00
12355,28.68,35.39,179.00
12379,28.68,56.92,179.00
12402,28.68,56.92,179.00
12427,28.68,56.92,179.00
12450,28.68,40.79,179.00
12474,28.68,40.79,179.00
12497,28.68,70.64,179.00
12522,28.68,70.64,179.00
12546,28.68,43.22,179.00
12570,28.68,43.22,179.00
12594,28.68,73.89,179.00
12617,28.68,73.89,179.00
12668,0.00,47.38,179.00
12692,0.00,81.71,179.00
12715,0.00,81.71,179.00
12738,0.00,81.71,179.00
12762,0.00,51.50,179.00
12786,0.00,92.66,179.00
12810,0.00,92.66,179.00
12833,0.00,92.66,179.00
12856,0.00,52.15,179.00
12880,0.00,86.72,179.00
12904,0.00,86.72,179.00
12928,0.00,51.69,179.00
12951,0.00,51.69,179.00
12975,0.00,91.27,179.00
12998,3.46,91.27,179.00
13022,3.46,56.04,179.00
13045,55.82,103.52,179.00
13069,136.09,103.52,179.00
13092,136.09,67.52,179.00
13117,56.21,119.26,178.00
13144,121.75,119.26,178.00
13167,121.75,73.54,178.00
13191,121.75,135.57,178.00
13236,124.11,141.88,178.00
13259,124.11,141.88,178.00
13283,60.07,88.19,179.00
13307,133.86,153.88,179.00
13331,133.86,92.87,179.00
13355,64.17,162.73,179.00
13379,136.04,91.49,179.00
13403,136.04,96.80,179.00
13426,63.46,96.80,179.00
13450,136.76,96.80,179.00
13473,136.76,49.52,179.00
13497,62.24,49.52,179.00
13520,120.10,82.24,179.00
13545,120.10,82.24,179.00
13569,57.39,82.24,179.00
13592,120.39,37.17,179.00
13619,120.39,37.17,179.00
13642,51.72,37.17,179.00
13667,51.72,36.14,179.00
13690,100.27,36.14,179.00
13714,100.27,36.14,179.00
13737,49.14,36.14,179.00
13761,100.62,36.14,179.00
13785,100.62,36.14,179.00
13831,44.08,36.14,179.00
13854,105.95,36.14,179.00
13878,105.95,36.14,179.00
13901,105.95,36.14,179.00
13926,45.39,36.14,179.00
13949,45.39,36.14,179.00
13973,82.78,36.14,179.00
13997,82.78,36.14,179.00
14020,82.78,36.14,179.00
14044,40.52,36.14,179.00
14067,88.52,36.14,179.00
14112,88.52,36.14,179.00
14136,45.68,36.14,179.00
14160,104.37,36.14,179.00
14184,104.37,36.14,179.00
14208,104.37,36.14,179.00
14231,51.12,0.00,179.00
14255,113.88,0.00,179.00
14278,113.88,0.00,179.00
14302,52.94,0.00,179.00
14325,120.56,0.00,179.00
14349,120.56,0.00,179.00
14372,120.56,0.00,179.00
14414,138.15,0.00,179.00
14441,138.15,0.00,179.00
14466,146.83,0.00,179.00
14489,146.83,0.00,179.00
14513,71.55,0.00,179.00
14537,167.90,3.48,179.00
14561,167.90,105.50,179.00
14585,198.47,105.50,179.00
14613,89.81,61.37,180.00
14637,89.81,106.17,179.00
14660,64.69,106.17,180.00
14685,64.69,57.99,180.00
