tempo,rpmEsquerdo,rpmDireito,corrente
14000,99.97,21.72,511.00
14024,50.36,21.72,510.00
14048,120.91,21.72,512.00
14072,120.91,8.58,510.00
14096,61.64,8.58,510.00
14120,158.80,59.07,509.00
14145,78.31,82.90,510.00
14169,168.31,82.90,509.00
14193,168.31,53.06,511.00
14217,193.60,53.06,510.00
14241,193.60,104.01,510.00
14265,197.63,104.01,512.00
14289,197.63,59.07,511.00
14314,93.77,95.00,510.00
14338,68.06,95.00,510.00
14362,68.06,68.29,512.00
14388,69.70,116.70,512.00
14411,69.70,116.70,511.00
14436,70.00,71.66,512.00
14478,69.47,122.65,511.00
14505,69.47,71.74,509.00
14529,50.50,117.41,510.00
14554,137.94,117.41,512.00
14577,137.94,61.32,510.00
14601,137.94,99.15,509.00
14625,46.39,99.15,510.00
14649,46.39,54.23,512.00
14672,62.19,54.23,510.00
14697,62.19,81.27,511.00
14721,62.19,81.27,512.00
14744,62.19,48.16,510.00
14769,62.19,48.16,511.00
14792,62.19,81.65,510.00
14816,62.19,81.65,510.00
14839,62.19,81.65,512.00
14885,62.19,43.45,510.00
14909,62.19,66.10,509.00
14932,62.19,66.10,511.00
14957,62.19,66.10,510.00
14981,62.19,41.27,510.00
15004,62.19,41.27,510.00
15029,62.19,71.97,510.00
15052,62.19,71.97,511.00
15097,62.19,41.12,509.00
15122,62.19,71.39,511.00
15145,62.19,71.39,512.00
15170,62.19,71.39,510.00
15194,62.19,45.22,509.00
15218,0.00,45.22,510.00
15242,0.00,81.12,509.00
15265,5.14,81.12,510.00
15290,125.75,55.89,510.00
15314,125.75,99.97,509.00
15338,49.00,99.97,510.00
15363,95.65,73.70,509.00
15389,95.65,132.11,510.00
15414,95.65,80.31,510.00
15438,44.76,135.01,510.00
15462,102.46,135.01,510.00
15486,102.46,84.33,511.00
15510,102.46,142.26,508.00
15535,49.41,88.67,512.00
15559,110.07,152.59,511.00
15583,110.07,91.27,510.00
15607,52.70,153.22,511.00
15632,114.89,88.15,511.00
15655,114.89,154.93,511.00
15699,55.90,159.44,511.00
15724,129.07,159.44,510.00
15749,129.07,166.67,511.00
15772,55.63,166.67,511.00
15797,129.83,165.93,510.00
15820,129.83,165.93,508.00
15848,59.37,166.41,509.00
15873,128.36,166.41,509.00
15896,128.36,176.68,510.00
15921,60.54,176.68,509.00
15944,139.82,178.57,513.00
15969,139.82,103.21,511.00
15993,66.13,182.53,511.00
16017,142.31,104.38,511.00
16041,66.14,182.93,511.00
16066,142.91,107.30,510.00
16090,142.91,187.64,510.00
16114,69.46,103.36,510.00
16139,156.64,166.70,510.00
16162,73.91,95.63,512.00
16187,153.41,163.76,509.00
16211,153.41,93.96,510.00
16235,73.56,155.31,509.00
16260,168.62,100.00,509.00
16305,69.96,150.72,509.00
16332,138.45,152.07,510.00
16356,61.66,152.07,510.00
16380,127.86,85.55,510.00
16405,127.86,136.14,510.00
16429,127.86,92.38,511.00
16453,138.35,153.78,508.00
16477,138.35,93.86,510.00
16501,62.85,164.91,510.00
16526,134.00,97.44,513.00
16549,134.00,167.82,511.00
16574,62.97,96.77,509.00
16598,132.56,166.08,510.00
16622,132.56,93.70,511.00
16647,63.15,164.94,510.00
16670,135.31,97.77,512.00
16695,135.31,164.15,510.00
16718,64.23,95.25,511.00
16743,135.89,166.89,509.00
16768,135.89,96.43,509.00
16794,64.32,174.18,510.00
16819,141.19,95.97,511.00
16843,141.19,169.64,510.00
16885,147.93,168.43,510.00
16914,68.26,98.63,510.00
16937,150.12,167.37,509.00
16962,150.12,99.88,511.00
16987,68.76,176.43,511.00
17010,150.48,101.92,511.00
17035,69.59,181.12,511.00
17059,159.17,104.88,511.00
17083,159.17,187.22,509.00
17107,69.62,105.29,512.00
17132,158.93,182.04,509.00
17156,158.93,180.46,510.00
17180,150.94,180.46,511.00
17204,150.94,167.97,511.00
17228,0.00,167.97,512.00
17255,0.00,157.20,510.00
17280,67.64,157.20,510.00
17304,67.64,85.07,512.00
17328,67.64,127.90,509.00
17352,67.64,67.77,512.00
17376,67.64,67.77,510.00
17400,67.64,96.34,510.00
17424,67.64,96.34,510.00
17448,67.64,51.69,512.00
17494,67.64,76.63,510.00
17517,67.64,76.63,511.00
17541,67.64,76.63,511.00
17565,67.64,44.63,509.00
17589,67.64,72.34,509.00
17613,67.64,72.34,510.00
17637,67.64,72.34,510.00
17661,67.64,45.55,510.00
17685,67.64,45.55,510.00
17710,67.64,80.69,510.00
17733,67.64,80.69,510.00
17763,67.64,49.06,509.00
17786,0.00,49.06,509.00
17811,0.00,86.16,509.00
17835,0.00,86.16,510.00
17858,0.00,52.12,510.00
17882,0.00,89.67,509.00
17906,0.00,89.67,510.00
17930,0.00,89.67,509.00
17953,0.00,52.53,511.00
17978,4.33,93.30,510.00
18001,119.26,93.30,510.00
18025,119.26,59.76,512.00
18068,54.43,110.21,509.00
18096,117.43,68.29,511.00
18119,117.43,121.58,512.00
18144,49.85,121.58,509.00
18168,102.21,73.69,510.00
18192,102.21,131.67,511.00
18216,102.21,81.14,510.00
18240,45.89,141.83,509.00
18268,45.89,141.83,511.00
18292,45.89,78.39,510.00
18316,45.89,121.77,509.00
18340,45.89,121.77,510.00
18364,45.89,62.92,511.00
18388,45.89,103.06,511.00
18412,45.89,103.06,511.00
18437,14.48,57.11,510.00
18461,14.48,102.74,511.00
18485,14.48,102.74,509.00
18509,55.01,66.21,508.00
18533,134.48,125.97,512.00
18557,134.48,125.97,508.00
18581,134.48,75.23,511.00
